Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"You Say Run (From ""My Hero Academia"")","Vincent Moretto","You Say Run (From ""My Hero Academia"")","Brani Preferiti Pubblici","Playlist","QZPJ32289881","7qgPEp0UWxIEiM537AfHRM"
"Naruto Shippuden - Reverse Situation - Metal Remix","Vincent Moretto","Naruto Shippuden - Reverse Situation (Metal Remix)","Brani Preferiti Pubblici","Playlist","QZ22B2011491","17pEe3U4S72t3KChKW2Ip3"
"Meathook (Doom Eternal)","Artificial Fear","Meathook (Doom Eternal)","Brani Preferiti Pubblici","Playlist","QZPJ32213011","53Tf8eGoq9EUL9dxKY29El"
"Blood Overdrive","Aaron F. Bianchi Jupiter","Blood Overdrive","Brani Preferiti Pubblici","Playlist","QZTB82388396","3c79B00mmoCgiGbykLN4TL"
"Nightmare","DanielFromSalem","Nightmare","Brani Preferiti Pubblici","Playlist","GX5MX2394291","7qgrDC2VasJBxtP8rUmNM6"
"StopRewind - slowed + reverb","NateWantsToBattle","StopRewind (slowed + reverb)","Brani Preferiti Pubblici","Playlist","QZTBA2329283","36RCmVZPmnDAb8I7KOasjy"
"Arabon's Entrance (Warhammer 40k)","Rob Sigurd","Arabon's Entrance (Warhammer 40k)","Brani Preferiti Pubblici","Playlist","QZK6N2326838","6WRBsWPm7b7QeLN2oacps3"
"KNIGHT","PLAYA SSK","KNIGHT","Brani Preferiti Pubblici","Playlist","UKU932319173","4VRaABY2IC3zPmvKvrw9mB"
"KNIGHT","Hikigaya","1000-7, Vol. 2","Brani Preferiti Pubblici","Playlist","RUA1D2241951","6wASzRwRWTTt0s1Gk97PjC"
"Hear! The Siren Song Call of the Dead - Remix","Marzuku","Hear! The Siren Song Call of the Dead (Remix)","Brani Preferiti Pubblici","Playlist","SE62M2391909","1eR2Sjtz31UavzpPO8N52n"
"Berserker","Robert Slump","Berserker","Brani Preferiti Pubblici","Playlist","UKXN22369425","5Q2nl6HW5AWcc4ZN64FVbe"
"MK ULTRA","Void Amber","MK ULTRA","Brani Preferiti Pubblici","Playlist","QZTB72394294","521b0DXDJpIEXQzkpKSBeL"
"Overwhelming Attack Power - From ""Baki""","Gabriele Motta","Overwhelming Attack Power (From ""Baki"")","Brani Preferiti Pubblici","Playlist","DGA092369285","28yTfCrSfiX5inapGc8i10"
"The Hero!! - One Punch Man","Gabriele Motta","The Hero!! (One Punch Man)","Brani Preferiti Pubblici","Playlist","FRX282004500","5eo3hb5LKZfYts62ROvZ41"
"Riding the Storm","Deaf Election","Falling in Flames","Brani Preferiti Pubblici","Playlist","SE5Q51818258","0iB92OQbl9D6pNa3YzRLnl"
"RAGE","Hikigaya","RAGE","Brani Preferiti Pubblici","Playlist","RUA1D2227042","74RzYLT5dahApKE9IXB0Qi"
"Barou Theme (From 'Blue Lock')","D.Meletis","Barou Theme (From 'Blue Lock')","Brani Preferiti Pubblici","Playlist","GBLLT2311245","6WbtpqfzA01KLdCYf0aDsi"
"awake","Taku Iwasaki","JOJO'S BIZARRE ADVENTURE -O.S.T.] Battle Tendency [leicht verwendbar]","Brani Preferiti Pubblici","Playlist","JPQ461300027","1qqbzYjbflz9oo0nwqrKSz"
"Denji Fight Theme","Mask Music","Denji Fight Theme","Brani Preferiti Pubblici","Playlist","QZTAU2295004","2OrWwgmGbwxLcWtYvUnJxT"
"沸き上がる闘志","MUSASHI PROJECT","NARUTO -ナルト-　オリジナルサウンドトラック","Brani Preferiti Pubblici","Playlist","JPE300300226","7k9D5GUqhn0Jf3kBnfgQJ6"
"Libera Me From Hell","Benny Best","Libera Me From Hell","Brani Preferiti Pubblici","Playlist","QZNJX2201004","49RLgcX7EpjcsR15tsQDnc"
"Let's Beyblade (feat. Lucas Rossi) [Season 1]","Sick Kid","Beyblade: Beyblade Classics","Brani Preferiti Pubblici","Playlist","USLS52111112","7fqmSA96j6TrdrE68PNg6T"
"Let's Beyblade (Let It Rip)","Bitterwood","Sexy AF A//B","Brani Preferiti Pubblici","Playlist","QMDA62184338","39KTW4r1Q2XC7HG4L0bOmn"
"Hellforge Heretek","Rob Sigurd","Hellforge Heretek","Brani Preferiti Pubblici","Playlist","QZMEQ2324322","2VGD9sT5pBdR1ksfqQ6jK7"
"Orc Theme 4 (From ""Warcraft 2: Tides of Darkness"")","Vincent Moretto","Orc Theme 4 (From ""Warcraft 2: Tides of Darkness"")","Brani Preferiti Pubblici","Playlist","QZGWX2100170","4j9gxTQDnX3QNd9UevO9Sl"
"Boom Back","Sick Mother Crash","Smoke","Brani Preferiti Pubblici","Playlist","ARQIW2300288","1OwfCwEr75CnvJC2BxN17Z"
